City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,al 'amarah,31.8406,47.1396,18.35,43,70,3.08,IQ,1702166546
83,igarka,67.4667,86.5833,-41.21,100,79,1.97,RU,1702166265
84,tongouson,5.0214,120.1328,28.06,74,97,1.02,PH,1702166546
85,norilsk,69.3535,88.2027,-34.5,99,100,2.37,RU,1702166546
86,patterson,37.4716,-121.1297,15.06,42,38,1.67,US,1702166547
87,san patricio,28.017,-97.5169,25.09,72,36,7.03,US,1702166547
88,port hedland,-20.3167,118.5667,29.03,32,23,7.72,AU,1702166286
89,albany,42.6001,-73.9662,9.21,83,100,0.89,US,1702166435
90,nadym,65.5333,72.5167,-39.91,100,51,1.36,RU,1702166548
91,portland,45.5234,-122.6762,6.22,93,100,5.66,US,1702166187
92,malkapur,20.8833,76.2,18.57,59,1,1.97,IN,1702166548
93,maceio,-9.6658,-35.7353,25.69,88,0,3.09,BR,1702166549
94,kizilcahamam,40.4697,32.6506,3.79,99,100,1.57,TR,1702166549
95,tikhvin,59.6451,33.5294,-14.88,89,100,4.72,RU,1702166549
96,ancud,-41.8697,-73.8203,11.88,84,39,2.63,CL,1702166549
97,constitucion,-35.3333,-72.4167,16.04,66,1,6.52,CL,1702166254
98,afaahiti,-17.75,-149.2833,29.93,83,67,10.57,PF,1702166536
99,east london,-33.0153,27.9116,16.22,88,100,4.1,ZA,1702166505
100,villa gesell,-37.2639,-56.973,18.36,79,100,6.85,AR,1702166550
101,la passe,45.5549,-0.8967,12.21,87,78,5.47,FR,1702166282
102,st. john's,47.5649,-52.7093,2.76,87,75,9.26,CA,1702166424
103,enewetak,11.3474,162.3373,27.39,81,44,6.16,MH,1702166550
104,tisul',55.7611,88.3122,-29.54,96,99,1.19,RU,1702166551
105,west plains,36.7281,-91.8524,9.49,56,0,6.17,US,1702166551
106,ebon,4.582,168.6964,28.25,77,31,4.2,MH,1702166551
107,espinosa,-14.9261,-42.8192,28.67,40,99,2.36,BR,1702166551
108,jose maria morelos,23.3952,-103.8984,14.31,39,0,0.68,MX,1702166552
109,avarua,-21.2078,-159.775,27.03,78,75,11.83,CK,1702166520
110,moroni,-11.7022,43.2551,26.71,81,96,1.41,KM,1702166333
111,aljezur,37.3191,-8.8033,15.21,92,77,1.24,PT,1702166552
112,helena valley southeast,46.6153,-111.9216,1.74,42,93,2.68,US,1702166552
113,al kharijah,25.4514,30.5464,15.39,39,60,2.54,EG,1702166553
114,qusmuryn,52.4503,64.6311,-29.4,99,14,1.02,KZ,1702166553
115,longyearbyen,78.2186,15.6401,-5.09,63,75,8.23,SJ,1702166553
116,chui,-33.6971,-53.4616,16.08,89,4,4.08,UY,1702166553
117,ulety,51.3572,112.4849,-24.17,87,10,3.36,RU,1702166277
118,kimry,56.8667,37.35,-12.67,94,100,4.15,RU,1702166504
119,pisco,-13.7,-76.2167,21.03,73,43,8.23,PE,1702166554
120,papao,-17.75,-149.55,30.82,84,51,11.77,PF,1702166554
121,caldas novas,-17.7417,-48.625,22.82,76,44,0.67,BR,1702166554
122,cabedelo,-6.9811,-34.8339,27.37,72,74,6.74,BR,1702166457
123,port mathurin,-19.6833,63.4167,26.22,75,12,4.74,MU,1702166555
124,kudahuvadhoo,2.6708,72.8944,28.25,73,97,2.7,MV,1702166555
125,kapa'a,22.0752,-159.319,27.33,68,16,2.24,US,1702166555
126,kalabo,-14.97,22.6814,23.51,65,50,3.46,ZM,1702166555
127,ketchikan,55.3422,-131.6461,5.99,98,100,3.58,US,1702166555
128,vorgashor,67.5833,63.95,-23.14,100,100,2.16,RU,1702166555
129,saint-pierre,-21.3393,55.4781,24.82,69,0,3.09,RE,1702166556
130,bellary,15.15,76.9333,22.08,79,91,3.32,IN,1702166556
131,atafu village,-8.5421,-172.5159,28.87,75,100,3.8,TK,1702166556
132,touros,-5.1989,-35.4608,26.5,75,95,6.89,BR,1702166258
133,punta del este,-34.9667,-54.95,19.06,81,75,5.14,UY,1702166403
134,leava,-14.3,-178.1667,28.07,74,79,2.94,WF,1702166557
135,radymno,49.9472,22.8238,-4.32,93,96,3.02,PL,1702166557
136,iranshahr,27.2025,60.6848,16.28,21,85,1.12,IR,1702166558
137,udachny,66.4167,112.4,-30.31,74,100,2.28,RU,1702166524
138,tazovsky,67.4667,78.7,-37.96,100,69,1.83,RU,1702166558
